Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2007-08,23,ORL,NBA,C,8.0,0.0,6.0,0.6,0.8,0.833,0.0,0.0,0.6,0.8,0.833,0.833,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.5,0.4,0.6,1.3,
2008-09,24,ORL,NBA,PF,24.0,1.0,11.3,1.4,2.2,0.654,0.0,0.0,1.4,2.2,0.654,0.654,0.4,0.7,0.625,0.8,2.4,3.2,0.1,0.4,0.6,0.5,1.6,3.3,
2009-10,25,ORL,NBA,C,14.0,0.0,15.1,1.2,1.9,0.654,0.0,0.0,1.2,1.9,0.654,0.654,0.6,0.8,0.727,1.7,2.7,4.4,0.6,0.2,0.3,0.2,2.1,3.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,29,WAS,NBA,C,11.0,11.0,34.7,5.3,10.7,0.492,0.0,0.0,5.3,10.7,0.492,0.492,2.5,3.7,0.659,3.3,6.6,9.9,1.5,0.5,1.3,1.8,2.0,13.0,
2014-15,30,WAS,NBA,C,10.0,10.0,30.7,5.4,8.6,0.628,0.0,0.0,5.4,8.6,0.628,0.628,1.6,2.4,0.667,2.7,6.1,8.8,2.2,0.6,1.1,1.6,2.9,12.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,32,WAS,NBA,C,13.0,13.0,31.5,3.6,7.2,0.505,0.0,0.0,3.6,7.2,0.505,0.505,0.8,1.4,0.611,4.0,7.0,11.0,1.8,0.4,1.5,1.3,3.1,8.1,
2017-18,33,WAS,NBA,C,6.0,6.0,26.7,4.0,7.2,0.558,0.0,0.0,4.0,7.2,0.558,0.558,0.7,1.2,0.571,2.2,4.2,6.3,1.0,0.0,0.3,1.0,2.5,8.7,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,86.0,41.0,20.8,2.8,4.9,0.564,0.0,0.0,2.8,4.9,0.564,0.564,0.9,1.4,0.65,2.0,4.1,6.1,0.9,0.3,0.8,0.9,2.1,6.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),,40.0,40.0,31.5,4.6,8.5,0.538,0.0,0.0,4.6,8.5,0.538,0.538,1.5,2.3,0.644,3.2,6.3,9.5,1.7,0.4,1.2,1.5,2.7,10.6,
ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),,46.0,1.0,11.5,1.2,1.8,0.667,0.0,0.0,1.2,1.8,0.667,0.667,0.4,0.6,0.667,1.0,2.2,3.2,0.3,0.3,0.5,0.4,1.6,2.8,
