"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2007-08,23,ORL,NBA,C,8.0,0.0,48.0,0.833,0.833,0.833,,0.833,0.0,0.0,182.0,172.0,168.0,,154.0,0.0,0.0,
2008-09,24,ORL,NBA,PF,24.0,1.0,271.0,0.654,0.654,0.654,0.625,0.661,0.308,0.0,143.0,135.0,131.0,81.0,121.0,101.0,0.0,
2009-10,25,ORL,NBA,C,14.0,0.0,212.0,0.654,0.654,0.654,0.727,0.681,0.423,0.0,142.0,133.0,131.0,96.0,125.0,141.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2013-14,29,WAS,NBA,C,11.0,11.0,382.0,0.492,0.492,0.492,0.659,0.526,0.347,0.0,108.0,101.0,98.0,87.0,97.0,122.0,0.0,
2014-15,30,WAS,NBA,C,10.0,10.0,307.0,0.628,0.628,0.628,0.667,0.642,0.279,0.0,140.0,129.0,127.0,89.0,120.0,102.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2016-17,32,WAS,NBA,C,13.0,13.0,409.0,0.505,0.505,0.505,0.611,0.52,0.194,0.0,111.0,100.0,98.0,79.0,94.0,72.0,0.0,
2017-18,33,WAS,NBA,C,6.0,6.0,160.0,0.558,0.558,0.558,0.571,0.564,0.163,0.0,121.0,109.0,107.0,74.0,101.0,65.0,0.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,86.0,41.0,1789.0,0.564,0.564,0.564,0.65,0.583,0.276,0.0,123.0,115.0,112.0,85.0,107.0,98.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),,40.0,40.0,1258.0,0.538,0.538,0.538,0.644,0.558,0.265,0.0,118.0,109.0,107.0,85.0,103.0,96.0,0.0,
ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),,46.0,1.0,531.0,0.667,0.667,0.667,0.667,0.678,0.321,0.0,145.0,137.0,133.0,87.0,125.0,106.0,0.0,
