"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Marcin Gortat,,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,1.4,0.1
Tom Owens,90.9,10.4,8.3,8.0,6.9,6.9,6.0,4.8,3.2,2.9,2.5,0.9,0.6
Jim Eakins,90.0,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,,
Steven Adams,89.3,9.7,9.1,6.8,6.5,6.5,6.5,4.1,4.0,3.4,2.9,2.3,
Marcus Camby,89.1,10.3,8.5,7.6,6.9,5.9,5.8,5.5,3.7,3.5,2.1,1.5,0.9
Al Jefferson,88.9,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.7,4.6,2.8,2.7,2.3
Zydrunas Ilgauskas,88.7,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.5,2.5,0.7,0.5
Brook Lopez,88.3,9.0,7.9,7.0,6.7,6.3,6.2,5.8,5.5,4.9,3.8,2.3,0.3
Clifford Ray,88.3,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8,1.9,-0.3,,
Enes Freedom,87.0,8.1,7.5,7.5,6.4,5.8,5.4,4.4,2.3,2.2,1.7,1.4,
Red Kerr,86.6,8.7,7.8,7.7,5.8,5.4,5.0,4.9,4.6,3.9,3.8,3.1,0.9
