Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2007-08,23,ORL,NBA,C,8.0,0.0,48.0,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,0.0,0.0,,2.0,6.0,8.0,0.0,0.0,4.0,3.0,5.0,10.0,0.0,
2008-09,24,ORL,NBA,PF,24.0,1.0,271.0,34.0,52.0,0.654,0.0,0.0,34.0,52.0,0.654,0.654,10.0,16.0,0.625,18.0,58.0,76.0,3.0,9.0,15.0,11.0,39.0,78.0,0.0,
2009-10,25,ORL,NBA,C,14.0,0.0,212.0,17.0,26.0,0.654,0.0,0.0,17.0,26.0,0.654,0.654,8.0,11.0,0.727,24.0,38.0,62.0,9.0,3.0,4.0,3.0,29.0,42.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,29,WAS,NBA,C,11.0,11.0,382.0,58.0,118.0,0.492,0.0,0.0,58.0,118.0,0.492,0.492,27.0,41.0,0.659,36.0,73.0,109.0,16.0,5.0,14.0,20.0,22.0,143.0,0.0,
2014-15,30,WAS,NBA,C,10.0,10.0,307.0,54.0,86.0,0.628,0.0,0.0,54.0,86.0,0.628,0.628,16.0,24.0,0.667,27.0,61.0,88.0,22.0,6.0,11.0,16.0,29.0,124.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,32,WAS,NBA,C,13.0,13.0,409.0,47.0,93.0,0.505,0.0,0.0,47.0,93.0,0.505,0.505,11.0,18.0,0.611,52.0,91.0,143.0,24.0,5.0,20.0,17.0,40.0,105.0,0.0,
2017-18,33,WAS,NBA,C,6.0,6.0,160.0,24.0,43.0,0.558,0.0,0.0,24.0,43.0,0.558,0.558,4.0,7.0,0.571,13.0,25.0,38.0,6.0,0.0,2.0,6.0,15.0,52.0,0.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,86.0,41.0,1789.0,239.0,424.0,0.564,0.0,0.0,239.0,424.0,0.564,0.564,76.0,117.0,0.65,172.0,352.0,524.0,80.0,28.0,70.0,76.0,179.0,554.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,39.0,1706.0,228.0,404.0,0.564,0.0,0.0,228.0,404.0,0.564,0.564,72.0,112.0,0.65,164.0,336.0,500.0,76.0,27.0,67.0,72.0,171.0,528.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),,40.0,40.0,1258.0,183.0,340.0,0.538,0.0,0.0,183.0,340.0,0.538,0.538,58.0,90.0,0.644,128.0,250.0,378.0,68.0,16.0,47.0,59.0,106.0,424.0,0.0,
ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),,46.0,1.0,531.0,56.0,84.0,0.667,0.0,0.0,56.0,84.0,0.667,0.667,18.0,27.0,0.667,44.0,102.0,146.0,12.0,12.0,23.0,17.0,73.0,130.0,0.0,
