"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Ãmer AÅÄ±k,,5.5,5.0,2.7,2.6,2.4,1.7,1.0,-0.1,,,,,
Mikki Moore,89.3,5.7,4.6,2.8,2.6,2.2,2.1,1.0,0.6,0.6,0.1,0.1,0.1,0.1
Kevin Kunnert,87.8,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2,0.0,,,,
Randy Breuer,85.9,5.1,4.5,3.0,2.4,2.0,1.7,1.0,0.9,0.3,0.1,0.0,,
John Gianelli,83.2,5.5,4.4,3.6,3.2,3.0,2.5,1.2,-0.4,,,,,
Felton Spencer,83.1,5.6,4.7,2.4,2.0,2.0,1.3,1.1,0.9,0.5,0.4,0.3,-0.1,
Blair Rasmussen,82.6,5.2,4.2,3.3,3.0,1.8,1.7,0.0,-0.1,,,,,
Daniel Theis,82.3,6.5,4.3,3.5,3.5,2.5,1.9,1.0,0.1,,,,,
John Henson,81.6,4.9,3.6,3.3,2.7,2.3,1.9,1.4,0.6,,,,,
Thomas Bryant,80.9,5.6,4.1,3.9,3.1,1.6,1.1,1.0,0.1,,,,,
Dennis Awtrey,80.6,5.2,5.0,3.1,2.1,1.8,1.4,1.0,1.0,0.7,0.6,0.6,0.0,
