"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2010-11,24,CHI,NBA,C,15.0,0.0,148.0,0.462,0.462,0.462,0.3,0.431,0.769,0.0,101.0,95.0,93.0,39.0,80.0,256.0,0.0,
2011-12,25,CHI,NBA,C,6.0,3.0,128.0,0.5,0.5,0.5,0.353,0.466,1.214,0.0,112.0,105.0,103.0,47.0,88.0,440.0,0.0,
2012-13,26,HOU,NBA,C,6.0,6.0,208.0,0.564,0.564,0.564,0.638,0.62,1.205,0.0,125.0,117.0,114.0,85.0,116.0,446.0,0.0,
2013-14,27,HOU,NBA,C,6.0,4.0,163.0,0.485,0.485,0.485,1.0,0.51,0.091,0.0,107.0,99.0,97.0,132.0,94.0,32.0,0.0,
2014-15,28,NOP,NBA,C,4.0,4.0,79.0,0.2,0.2,0.2,0.571,0.306,0.7,0.0,45.0,41.0,40.0,76.0,57.0,256.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,37.0,17.0,726.0,0.486,0.486,0.486,0.548,0.521,0.771,0.0,107.0,100.0,98.0,73.0,97.0,280.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,21.0,3.0,276.0,0.481,0.481,0.481,0.333,0.45,1.0,0.0,106.0,100.0,98.0,44.0,84.0,352.0,0.0,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,12.0,10.0,371.0,0.528,0.528,0.528,0.66,0.58,0.694,0.0,116.0,109.0,106.0,88.0,108.0,256.0,0.0,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,4.0,4.0,79.0,0.2,0.2,0.2,0.571,0.306,0.7,0.0,45.0,41.0,40.0,76.0,57.0,256.0,0.0,
