"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2006-07,22,NOK,NBA,C,56,5,634,.544,5.5,1.000,.576,.136,.112,.176,.000,.544,.694,.294,.429,.318,,.529,,.232,28,,0,0,
2007-08,23,NOH,NBA,C,65,3,732,.453,4.1,1.000,.635,.169,.142,.054,.000,.453,.564,.280,.238,.250,,.463,,.182,22,,0,0,
2008-09,24,NOH,NBA,C,70,29,1092,.561,5.1,.992,.561,.220,.138,.073,.008,.566,.696,.444,.353,.333,.000,.587,,.264,60,.000,2,0,
2009-10,25,3TM,NBA,PF,33,0,335,.354,6.9,.987,.456,.241,.139,.152,.013,.359,.500,.316,.182,.167,.000,.714,,.177,10,.000,0,0,
2009-10,25,NOH,NBA,PF,18,0,239,.380,6.3,1.000,.500,.220,.120,.160,.000,.380,.560,.364,.000,.125,,.842,,.180,7,,0,0,
2009-10,25,SAC,NBA,C,6,0,56,.333,5.3,1.000,.500,.250,.167,.083,.000,.333,.500,.333,.000,.000,,.500,,.250,2,,0,0,
2009-10,25,HOU,NBA,C,9,0,40,.294,9.2,.941,.294,.294,.176,.176,.059,.313,.200,.200,.667,.333,.000,.400,,.118,1,.000,0,0,
2010-11,26,2TM,NBA,C,53,2,488,.487,9.4,.947,.382,.250,.171,.145,.053,.486,.621,.421,.231,.545,.500,.514,.000,.145,10,.000,0,0,
2010-11,26,WAS,NBA,C,41,2,412,.484,8.2,.953,.391,.266,.188,.109,.047,.492,.640,.471,.250,.429,.333,.567,.000,.156,9,.000,0,0,
2010-11,26,ATL,NBA,C,12,0,76,.500,10.6,.917,.333,.167,.083,.333,.083,.455,.500,.000,.000,.750,1.000,.200,.000,.083,1,.000,0,0,
2011-12,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2012-13,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2013-14,29,GSW,NBA,C,15,1,97,.474,7.0,1.000,.474,.158,.263,.105,.000,.474,.778,.000,.200,.500,,.444,,.158,3,,0,0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,292,40,3378,.501,6.8,.990,.545,.198,.141,.105,.010,.503,.640,.365,.296,.329,.286,.551,.000,.215,133,.000,2,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,11,949,.501,6.8,.990,.545,.198,.141,.105,.010,.503,.640,.365,.296,.329,.286,.551,.000,.215,37,.000,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOH (4 Yrs),NOH (4 Yrs),NOH (4 Yrs),NOH (4 Yrs),,209,37,2697,.513,5.3,.996,.578,.188,.132,.098,.004,.515,.647,.374,.307,.286,.000,.562,,.228,117,.000,2,0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,41,2,412,.484,8.2,.953,.391,.266,.188,.109,.047,.492,.640,.471,.250,.429,.333,.567,.000,.156,9,.000,0,0,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,15,1,97,.474,7.0,1.000,.474,.158,.263,.105,.000,.474,.778,.000,.200,.500,,.444,,.158,3,,0,0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,12,0,76,.500,10.6,.917,.333,.167,.083,.333,.083,.455,.500,.000,.000,.750,1.000,.200,.000,.083,1,.000,0,0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,9,0,40,.294,9.2,.941,.294,.294,.176,.176,.059,.313,.200,.200,.667,.333,.000,.400,,.118,1,.000,0,0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,6,0,56,.333,5.3,1.000,.500,.250,.167,.083,.000,.333,.500,.333,.000,.000,,.500,,.250,2,,0,0,
