"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2001-02,23,NJN,NBA,C,17.0,0.0,227.0,0.364,8.3,1.0,0.424,0.091,0.303,0.182,0.0,0.364,0.429,0.333,0.5,0.0,,0.583,0.121,3.0,,0.0,0.0,
2002-03,24,NJN,NBA,C,20.0,20.0,529.0,0.363,7.5,0.978,0.495,0.132,0.187,0.165,0.022,0.371,0.489,0.25,0.235,0.267,0.0,0.576,0.088,7.0,0.0,1.0,0.0,
2003-04,25,NJN,NBA,C,11.0,11.0,266.0,0.368,6.4,1.0,0.553,0.053,0.211,0.184,0.0,0.368,0.524,0.0,0.375,0.0,,0.571,0.053,2.0,,0.0,0.0,
2004-05,26,NJN,NBA,C,4.0,4.0,128.0,0.235,12.7,1.0,0.294,0.0,0.118,0.588,0.0,0.235,0.4,,0.0,0.2,,0.5,0.059,1.0,,0.0,0.0,
2005-06,27,NJN,NBA,C,11.0,11.0,302.0,0.36,10.0,1.0,0.36,0.08,0.2,0.36,0.0,0.36,0.556,0.5,0.2,0.222,,0.778,0.0,0.0,,0.0,0.0,
2006-07,28,NJN,NBA,PF,12.0,12.0,329.0,0.571,4.1,1.0,0.667,0.143,0.095,0.095,0.0,0.571,0.714,0.0,0.5,0.5,,0.75,0.143,2.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,31,ATL,NBA,C,3.0,0.0,10.0,0.6,6.2,1.0,0.6,0.0,0.2,0.2,0.0,0.6,0.667,,1.0,0.0,,0.667,0.0,0.0,,0.0,0.0,
2010-11,32,ATL,NBA,C,12.0,9.0,158.0,0.643,7.0,1.0,0.643,0.0,0.143,0.214,0.0,0.643,0.556,,1.0,0.667,,0.778,0.071,1.0,,0.0,0.0,
2011-12,33,ATL,NBA,C,5.0,4.0,85.0,0.545,6.3,1.0,0.545,0.182,0.091,0.182,0.0,0.545,0.667,0.5,0.0,0.5,,0.667,0.091,1.0,,0.0,0.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,95.0,71.0,2034.0,0.4,7.6,0.992,0.494,0.094,0.188,0.216,0.008,0.403,0.532,0.25,0.354,0.218,0.0,0.637,0.078,17.0,0.0,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,61.0,1756.0,0.4,7.6,0.992,0.494,0.094,0.188,0.216,0.008,0.403,0.532,0.25,0.354,0.218,0.0,0.637,0.078,15.0,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJN (6 Yrs),NJN (6 Yrs),NJN (6 Yrs),NJN (6 Yrs),,75.0,58.0,1781.0,0.373,8.1,0.991,0.48,0.098,0.196,0.218,0.009,0.377,0.519,0.227,0.318,0.184,0.0,0.619,0.08,15.0,0.0,1.0,0.0,
ATL (3 Yrs),ATL (3 Yrs),ATL (3 Yrs),ATL (3 Yrs),,20.0,13.0,253.0,0.6,6.5,1.0,0.6,0.067,0.133,0.2,0.0,0.6,0.611,0.5,0.75,0.5,,0.722,0.067,2.0,,0.0,0.0,
