"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Jason Collins,,4.9,4.7,3.9,3.0,2.0,0.6,0.6,0.4,0.2,0.1,0.1,-0.1,-0.2
Thomas Bryant,85.2,5.6,4.1,3.9,3.1,1.6,1.1,1.0,0.1,,,,,
Kevin Kunnert,85.1,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2,0.0,,,,
Randy Denton,83.6,5.5,4.3,3.9,3.1,3.0,0.4,,,,,,,
Tim McCormick,83.3,6.0,4.6,3.9,3.8,2.0,1.1,0.2,-0.1,,,,,
Randy Breuer,80.6,5.1,4.5,3.0,2.4,2.0,1.7,1.0,0.9,0.3,0.1,0.0,,
Blair Rasmussen,80.4,5.2,4.2,3.3,3.0,1.8,1.7,0.0,-0.1,,,,,
Nenad KrstiÄ,79.8,5.4,4.4,4.2,4.0,1.9,1.7,-0.1,,,,,,
Kurt Nimphius,79.7,4.8,3.3,3.1,2.9,1.5,1.0,0.7,0.1,,,,,
Joel Przybilla,79.4,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1,0.0
Dewayne Dedmon,79.3,5.2,4.0,3.7,3.5,2.4,1.7,1.1,1.0,0.6,0.1,,,
