"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Zeke Nnaji,,1.8,1.6,1.2,1.2,0.9
Larry Staverman,89.8,1.6,1.6,1.4,1.2,1.1
Taurean Prince,87.3,2.0,1.5,1.1,1.0,0.6
Pete Chilcutt,86.1,2.1,1.5,1.4,1.0,0.7
Earl Cureton,85.5,2.1,2.0,1.2,1.0,0.8
Marc Iavaroni,85.2,1.5,1.4,1.1,1.0,0.7
Thon Maker,82.9,2.0,1.5,1.5,1.3,0.3
Quincy Acy,82.5,2.5,1.7,1.5,1.1,0.9
Joe Bryant,81.8,2.2,1.8,1.5,1.3,1.2
Jeff Grayer,81.6,1.8,1.5,1.5,1.5,0.2
Rodney Carney,81.4,1.6,1.5,1.5,1.3,0.3
