"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2001-02,21,DET,NBA,SF,16.0,0.0,129.0,0.0,4.0,81.0,16.0,0.0,8.4,5.9,7.0,4.0,1.0,2.0,3.0,25.0,0.0,8.0,
2002-03,22,DEN,NBA,SG,72.0,19.0,1563.0,0.0,69.0,31.0,0.0,0.0,-11.3,-3.1,51.0,48.0,69.0,24.0,49.0,255.0,11.0,58.0,
2003-04,23,DEN,NBA,SF,72.0,0.0,985.0,0.0,10.0,61.0,29.0,1.0,0.7,-0.4,37.0,18.0,51.0,16.0,44.0,130.0,11.0,28.0,
2004-05,24,2TM,NBA,SF,58.0,2.0,677.0,0.0,2.0,55.0,41.0,2.0,-4.5,-6.6,16.0,14.0,32.0,3.0,21.0,96.0,4.0,11.0,
2004-05,24,DEN,NBA,SF,42.0,2.0,531.0,0.0,1.0,59.0,38.0,2.0,-5.7,-9.0,14.0,7.0,25.0,3.0,15.0,79.0,2.0,7.0,
2004-05,24,GSW,NBA,SF,16.0,0.0,146.0,0.0,2.0,43.0,52.0,3.0,-0.3,2.2,2.0,7.0,7.0,0.0,6.0,17.0,2.0,4.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,218.0,21.0,3354.0,0.0,35.0,47.0,17.0,1.0,-5.7,-2.7,111.0,84.0,153.0,45.0,117.0,506.0,26.0,105.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,8.0,1262.0,0.0,35.0,47.0,17.0,1.0,-5.7,-2.7,42.0,32.0,58.0,17.0,44.0,190.0,10.0,39.0,
,,,,,,,,,,,,,,,,,,,,,,,
DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),,186.0,21.0,3079.0,0.0,38.0,46.0,16.0,1.0,-6.5,-3.2,102.0,73.0,145.0,43.0,108.0,464.0,24.0,93.0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,16.0,0.0,129.0,0.0,4.0,81.0,16.0,0.0,8.4,5.9,7.0,4.0,1.0,2.0,3.0,25.0,0.0,8.0,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,16.0,0.0,146.0,0.0,2.0,43.0,52.0,3.0,-0.3,2.2,2.0,7.0,7.0,0.0,6.0,17.0,2.0,4.0,
