"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Vince Williams Jr.,,2.8,0.4,-0.1,,
Justin Champagnie,78.7,2.8,0.8,0.3,0.0,
Larry Spriggs,78.6,2.6,0.5,0.3,0.1,0.0
Don Lofgran,78.2,2.9,0.1,0.1,-0.1,
Jay Huff,77.9,2.5,0.5,0.2,0.0,
Anthony Lamb,75.9,2.4,0.2,0.0,,
Moussa Diabat̩,75.8,3.2,0.4,0.3,,
Dennis Hamilton,74.7,2.8,0.7,0.5,0.0,
Kenny Fields,72.7,2.8,0.7,0.7,0.0,
J.J. Anderson,72.5,2.3,0.2,0.1,,
Wenyen Gabriel,72.1,2.8,0.7,0.3,0.2,-0.2
