"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Jeremy Tyler,,0.5,-0.1,-0.2
Dexter Pittman,51.9,0.6,-0.1,-0.1
Uwe Blab,37.8,0.5,0.1,-0.1
D.J. Mbenga,17.6,0.5,0.1,0.0
Oleksiy Pecherov,16.9,0.5,0.1,0.0
George ZÃ­dek,14.9,0.6,0.3,0.0
Tacko Fall,14.6,0.5,0.2,0.1
Mamadou N'Diaye,10.2,0.6,0.3,0.0
Kyrylo Fesenko,8.8,0.6,0.3,0.0
Paul Ruffner,6.9,0.9,0.0,0.0
Stojko VrankoviÄ,5.7,0.9,0.1,-0.1
