Season,Team,Lg,Salary
2006-07,Utah Jazz,NBA,"$1,595,400"
2007-08,Utah Jazz,NBA,"$1,715,040"
2008-09,Utah Jazz,NBA,"$1,834,680"
2009-10,Memphis Grizzlies,NBA,"$2,717,161"
2010-11,Chicago Bulls,NBA,"$4,790,000"
2011-12,Chicago Bulls,NBA,"$4,710,000"
2012-13,Oklahoma City Thunder,NBA,"$1,069,509"
2013-14,Houston Rockets,NBA,"$1,186,459"
Career,(may be incomplete),,"$19,618,249"
