"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
O.J. Mayo,,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,
Carlos Delfino,88.2,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5,
John Williamson,87.0,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3,
Terance Mann,86.0,5.5,4.3,4.2,3.7,3.0,0.8,,,
Duncan Robinson,85.7,5.3,3.9,3.7,3.6,2.7,0.5,0.2,,
George Senesky,85.6,6.2,4.4,3.6,2.6,2.3,2.0,0.5,0.3,
Jeremy Lin,84.6,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0.0
Å arÅ«nas MarÄiulionis,84.3,6.4,3.8,3.0,2.6,2.5,2.3,-0.5,,
Vincent Askew,84.2,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2
Gary Trent Jr.,84.0,5.6,4.5,3.3,2.5,1.7,1.7,-0.2,,
Darwin Cook,83.8,6.0,3.9,3.6,3.0,2.7,1.6,1.2,0.9,
