"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Saddiq Bey,,4.0,3.9,3.5,3.3,,,
Jonathan Isaac,88.7,4.0,3.6,3.4,2.5,0.3,0.2,
Jared Sullinger,86.7,4.8,4.0,3.9,2.7,-0.1,,
Tom Abernethy,85.2,4.1,3.7,3.1,2.0,0.4,,
Lionel Simmons,80.9,4.3,3.8,3.8,2.7,1.1,0.9,0.3
Jalen Smith,80.4,4.0,2.9,2.8,2.3,0.1,,
Isaiah Stewart,79.7,4.3,4.0,3.4,2.0,1.7,,
Craig Smith,79.4,3.9,3.5,3.1,3.0,1.5,1.0,
Julius Keye,78.5,5.3,4.3,3.6,3.6,1.2,-0.2,
Dave Meyers,78.0,5.0,3.9,2.4,2.2,,,
Randy Mahaffey,77.7,5.7,4.7,3.7,2.6,,,
