"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Andre Roberson,,4.2,3.4,2.2,2.1,0.8,0.0,-0.1,,,,,
Charlie Bell,92.2,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2,,,,,
De'Anthony Melton,89.3,4.2,3.7,2.2,2.1,1.7,0.2,0.0,,,,,
Al Skinner,87.1,4.9,3.3,2.1,1.8,1.2,0.0,,,,,,
John Konchar,86.7,4.2,3.5,2.2,1.7,1.5,0.7,,,,,,
Jaren Jackson,85.8,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0.0,0.0,0.0,0.0,-0.1
Greivis VÃ¡squez,85.5,3.8,3.6,2.8,2.3,0.5,0.0,-0.3,,,,,
Whitey Skoog,85.3,4.1,3.6,2.9,1.9,1.0,0.7,,,,,,
Skeeter Swift,85.2,4.3,3.4,2.7,1.8,0.0,,,,,,,
Devin Vassell,85.2,3.6,3.3,2.2,1.5,1.2,,,,,,,
Roger Mason,84.6,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1,,
