"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jordan McRae,,0.7,0.5,0.4,0.2
Royal Ivey,92.6,0.7,0.5,0.3,0.2
Dylan Windler,84.6,0.8,0.5,0.3,0.0
Tracy Moore,84.2,0.6,0.5,0.3,0.1
Dalano Banton,80.5,0.8,0.5,0.4,0.4
JaKarr Sampson,80.5,0.8,0.6,0.5,0.1
Keith McLeod,80.1,0.8,0.6,0.3,0.2
Greg Graham,79.4,0.8,0.3,0.3,0.1
Gerald Glass,79.2,0.9,0.5,0.3,0.1
Mario West,78.3,0.5,0.4,0.3,0.2
Skylar Mays,77.8,0.8,0.7,0.4,0.3
