Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2013-14,27,CHA,NBA,PF,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,35.3,0.0,0.0,0.0,17.7,0.0,0.0,0,107,
1 Yr,1 Yr,1 Yr,1 Yr,,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,35.3,0.0,0.0,0.0,17.7,0.0,0.0,0,107,
