Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2013-14,27,CHA,NBA,PF,1,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,
1 Yr,1 Yr,1 Yr,1 Yr,,1,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,246,0,0,0,0,0,0,0,0,0,164,164,0,0,0,82,0,0,0,
