"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Melvin Ely,,2.0,0.8,0.6,0.4,0.3,0.1,0.0,-0.1,-0.3,,,
Rickey Brown,69.8,1.8,0.9,0.9,0.7,0.4,,,,,,,
Evan Eschmeyer,64.6,2.5,0.7,0.5,0.2,,,,,,,,
Sandro Mamukelashvili,60.4,2.2,1.1,1.0,0.9,,,,,,,,
Jack Haley,59.9,2.2,0.4,0.3,0.2,0.1,0.0,0.0,0.0,-0.3,,,
Johan Petro,59.9,1.7,1.0,0.8,0.7,0.4,0.4,0.4,0.2,,,,
Walt Davis,59.8,1.6,0.9,0.9,0.8,0.6,,,,,,,
Moses Brown,59.0,2.6,1.2,1.1,0.4,0.2,0.0,,,,,,
James Wiseman,58.9,2.1,1.4,0.7,0.0,,,,,,,,
Omer Yurtseven,58.7,2.1,0.7,0.3,,,,,,,,,
Greg Kite,58.5,2.0,1.4,0.8,0.7,0.6,0.3,0.1,0.1,0.1,0.0,-0.1,-0.3
