"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Jake Voskuhl,,3.3,2.7,2.5,1.7,1.0,0.6,0.2,0.0,-0.3
Zach Collins,88.5,2.9,2.7,2.2,1.8,1.2,0.6,0.3,,
Ekpe Udoh,85.6,3.2,2.7,2.1,1.6,0.7,0.3,0.0,,
Steven Hunter,85.3,2.8,2.6,2.5,1.0,0.9,0.6,0.1,0.1,
Manute Bol,82.7,3.9,2.4,2.0,1.7,1.3,0.8,0.2,0.0,-0.2
Francisco Elson,82.6,3.1,2.9,1.8,1.8,1.6,0.6,0.0,0.0,0.0
Jim Barnes,80.9,3.4,2.9,2.4,2.1,2.1,1.1,0.3,,
Khem Birch,79.8,3.8,2.8,2.6,2.2,1.8,0.2,,,
Joel Anthony,78.2,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.2
Hank Finkel,77.8,3.4,3.4,2.3,1.2,1.0,0.9,0.9,0.4,0.0
Duane Causwell,77.3,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.5,0.0
