"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jabari Smith Jr.,,5.6,4.2,1.9,,,,
Travis Grant,92.0,5.6,4.1,1.5,0.5,,,
Paolo Banchero,87.2,5.3,3.5,2.4,,,,
Santi Aldama,85.6,5.0,4.6,2.4,0.3,,,
Ed Ratleff,85.0,5.6,4.5,2.1,1.0,0.5,,
Leon Powe,83.7,4.9,4.3,1.7,0.6,0.5,,
Leonard Gray,83.5,4.1,4.0,1.8,,,,
Walt Budko,81.7,5.6,4.0,2.7,1.5,,,
Nick Richards,80.7,5.1,4.2,3.0,1.0,0.0,,
Dino Radja,78.3,5.9,4.5,4.0,-0.2,,,
Stan McKenzie,77.8,6.1,5.3,2.4,0.6,0.2,0.1,-0.1
