,PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,OVERALL_PICK,TEAM_NAME,ORGANIZATION,ORGANIZATION_TYPE,PLAYER_PROFILE_FLAG,POSITION,HEIGHT,WEIGHT,WINGSPAN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,BMI,VERTICAL_RATIO
0,2030,Kenyon Martin,2000,1,1,Nets,Cincinnati,College/University,1,,,,,,,,,,,,,,,
1,2031,Stromile Swift,2000,1,2,Grizzlies,Louisiana State,College/University,1,,,,,,,,,,,,,,,
2,2032,Darius Miles,2000,1,3,Clippers,East St. Louis,High School,1,,,,,,,,,,,,,,,
3,2033,Marcus Fizer,2000,1,4,Bulls,Iowa State,College/University,1,,,,,,,,,,,,,,,
4,2034,Mike Miller,2000,1,5,Magic,Florida,College/University,1,,,,,,,,,,,,,,,
5,2035,DerMarr Johnson,2000,1,6,Hawks,Cincinnati,College/University,1,,,,,,,,,,,,,,,
6,2036,Chris Mihm,2000,1,7,Bulls,Texas,College/University,1,,,,,,,,,,,,,,,
7,2037,Jamal Crawford,2000,1,8,Cavaliers,Michigan,College/University,1,G,76.5,175.0,82.0,,,,,,,,,0.0,21.021829210987228,
8,2038,Joel Przybilla,2000,1,9,Rockets,Minnesota,College/University,1,,,,,,,,,,,,,,,
9,2039,Keyon Dooling,2000,1,10,Magic,Missouri,College/University,1,,,,,,,,,,,,,,,
10,2040,Jerome Moiso,2000,1,11,Celtics,California-Los Angeles,College/University,1,,,,,,,,,,,,,,,
11,2041,Etan Thomas,2000,1,12,Mavericks,Syracuse,College/University,1,,,,,,,,,,,,,,,
12,2042,Courtney Alexander,2000,1,13,Magic,Fresno State,College/University,1,,,,,,,,,,,,,,,
13,2043,Mateen Cleaves,2000,1,14,Pistons,Michigan State,College/University,1,,,,,,,,,,,,,,,
14,2044,Jason Collier,2000,1,15,Bucks,Georgia Tech,College/University,1,,,,,,,,,,,,,,,
15,2045,Hedo Turkoglu,2000,1,16,Kings,Anadolu Efes S.K. (Turkey),Other Team/Club,1,,,,,,,,,,,,,,,
16,2046,Desmond Mason,2000,1,17,SuperSonics,Oklahoma State,College/University,1,,,,,,,,,,,,,,,
17,2047,Quentin Richardson,2000,1,18,Clippers,DePaul,College/University,1,,,,,,,,,,,,,,,
18,2048,Jamaal Magloire,2000,1,19,Hornets,Kentucky,College/University,1,,,,,,,,,,,,,,,
19,2049,Speedy Claxton,2000,1,20,76ers,Hofstra,College/University,1,G,70.5,166.0,72.0,,,,36.0,42.5,10.48,,3.06,6.0,23.479301845983603,0.6028368794326241
20,2050,Morris Peterson,2000,1,21,Raptors,Michigan State,College/University,1,,,,,,,,,,,,,,,
21,2051,Donnell Harvey,2000,1,22,Knicks,Florida,College/University,1,F,79.25,220.0,84.5,,,,33.0,32.5,11.23,,,15.0,24.625182855834964,0.41009463722397477
22,2052,DeShawn Stevenson,2000,1,23,Jazz,Washington Union,High School,1,,,,,,,,,,,,,,,
23,2053,Dalibor Bagaric,2000,1,24,Bulls,KK Dubrava (Croatia),Other Team/Club,1,,,,,,,,,,,,,,,
24,2054,Jake Tsakalidis,2000,1,25,Suns,A.E.K. Athens B.C. (Greece),Other Team/Club,1,,,,,,,,,,,,,,,
25,2055,Mamadou N'diaye,2000,1,26,Nuggets,Auburn,College/University,1,,,,,,,,,,,,,,,
26,2056,Primoz Brezec,2000,1,27,Pacers,KK Olimpija (Slovenia),Other Team/Club,1,C,84.75,243.0,86.0,,,,26.0,29.5,11.53,,3.55,,23.78385151538883,0.3480825958702065
27,2057,Erick Barkley,2000,1,28,Trail Blazers,St. John's (NY),College/University,1,,,,,,,,,,,,,,,
28,2058,Mark Madsen,2000,1,29,Lakers,Stanford,College/University,1,F,80.0,236.5,84.5,,,,30.5,33.5,12.12,,3.46,13.0,25.978046875000004,0.41875
29,2060,Marko Jaric,2000,2,30,Clippers,Fortitudo Pallacanestro Bologna (Italy),Other Team/Club,1,G,78.5,210.0,81.0,,,,27.5,33.0,11.32,,3.28,,23.957158505416043,0.42038216560509556
30,2061,Dan Langhi,2000,2,31,Mavericks,Vanderbilt,College/University,1,F,81.0,197.5,80.0,,,,31.0,34.5,10.85,,3.24,12.0,21.16178936137784,0.42592592592592593
31,2062,A.J. Guyton,2000,2,32,Bulls,Indiana,College/University,1,G,72.75,175.0,75.75,,,,33.0,37.5,10.55,,3.22,9.0,23.244883740154226,0.5154639175257731
32,2063,Jake Voskuhl,2000,2,33,Bulls,Connecticut,College/University,1,,,,,,,,,,,,,,,
33,2064,Khalid El-Amin,2000,2,34,Bulls,Connecticut,College/University,1,G,69.0,200.0,73.5,,,,27.5,32.0,10.59,,3.32,6.0,29.531611006091154,0.463768115942029
34,2065,Mike Smith,2000,2,35,Wizards,Louisiana-Monroe,College/University,1,F,78.5,198.0,80.5,,,,33.0,21.0,11.32,,3.22,12.0,22.588178019392267,0.267515923566879
35,2066,Soumaila Samake,2000,2,36,Nets,Cincinnati Stuff (IBL),Other Team/Club,1,,,,,,,,,,,,,,,
36,2067,Eddie House,2000,2,37,Heat,Arizona State,College/University,1,G,71.75,176.5,75.5,,,,29.5,38.5,11.12,,3.27,5.0,24.102174361713754,0.5365853658536586
37,2059,Eduardo Najera,2000,2,38,Rockets,Oklahoma,College/University,1,F,78.5,234.5,83.5,,,,28.0,35.0,11.38,,3.45,15.0,26.752160331047914,0.445859872611465
38,2068,Lavor Postell,2000,2,39,Knicks,St. John's (NY),College/University,1,G,76.5,205.0,80.5,,,,33.5,36.5,11.79,,3.3,17.0,24.62557136144218,0.477124183006536
39,2069,Hanno Mottola,2000,2,40,Hawks,Utah,College/University,1,,,,,,,,,,,,,,,
40,2070,Chris Carrawell,2000,2,41,Spurs,Duke,College/University,0,,,,,,,,,,,,,,,
41,2071,Olumide Oyedeji,2000,2,42,SuperSonics,DJK Wurzburg (Germany),Other Team/Club,1,,,,,,,,,,,,,,,
42,2072,Michael Redd,2000,2,43,Bucks,Ohio State,College/University,1,G,76.75,214.0,81.0,,,,27.0,31.0,12.06,,3.34,12.0,25.539496440280537,0.40390879478827363
43,2073,Brian Cardinal,2000,2,44,Pistons,Purdue,College/University,1,,,,,,,,,,,,,,,
44,2074,Jabari Smith,2000,2,45,Kings,Louisiana State,College/University,1,F,81.75,240.5,86.5,,,,24.5,30.0,12.45,,3.43,15.0,25.29850648561195,0.3669724770642202
45,2075,DeeAndre Hulett,2000,2,46,Raptors,Las Vegas Silver Bandits (IBL),Other Team/Club,0,,,,,,,,,,,,,,,
46,2076,Josip Sesar,2000,2,47,SuperSonics,KK Cibona (Croatia),Other Team/Club,0,,,,,,,,,,,,,,,
47,2077,Mark Karcher,2000,2,48,76ers,Temple,College/University,1,G,76.0,218.0,80.0,,,,27.5,30.5,11.51,,3.4,12.0,26.532894736842106,0.40131578947368424
48,2078,Jason Hart,2000,2,49,Bucks,Syracuse,College/University,1,G,73.75,181.0,78.0,,,,29.5,33.5,11.7,,3.34,9.0,23.394288997414538,0.4542372881355932
49,2079,Kaniel Dickens,2000,2,50,Jazz,Idaho,College/University,1,,,,,,,,,,,,,,,
