Age,G,MP,Totals_FG,Totals_FGA,Totals_3P,Totals_3PA,Totals_FT,Totals_FTA,Totals_ORB,Totals_TRB,Totals_AST,Totals_STL,Totals_BLK,Totals_TOV,Totals_PF,Totals_PTS,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST,OVERALL_PICK
22.0,31,909.0,221,389,2,7,141,206,76.0,300,42,43.0,107.0,56.0,71.0,585,0.568,0.286,0.684,29.3,18.9,9.7,1.4,1
20.0,34,1013.0,208,342,7,25,127,206,103.0,279,32,50.0,95.0,80.0,88.0,550,0.608,0.28,0.617,29.8,16.2,8.2,0.9,2
21.0,37,1243.0,327,562,15,42,175,239,100.0,285,41,29.0,39.0,77.0,103.0,844,0.582,0.357,0.732,33.6,22.8,7.7,1.1,4
19.0,37,1058.0,175,368,47,139,124,170,80.0,243,91,46.0,15.0,71.0,70.0,521,0.476,0.338,0.729,28.6,14.1,6.6,2.5,5
19.0,32,879.0,140,293,52,140,70,95,37.0,123,45,31.0,30.0,46.0,64.0,402,0.478,0.371,0.737,27.5,12.6,3.8,1.4,6
20.0,33,1014.0,206,394,7,15,164,232,116.0,346,22,11.0,90.0,81.0,90.0,583,0.523,0.467,0.707,30.7,17.7,10.5,0.7,7
19.0,17,577.0,105,255,33,101,40,51,7.0,47,76,19.0,16.0,53.0,19.0,283,0.412,0.327,0.784,33.9,16.6,2.8,4.5,8
20.0,21,638.0,122,199,0,0,55,111,54.0,176,50,17.0,81.0,77.0,61.0,299,0.613,0.36,0.495,30.4,14.2,8.4,2.4,9
19.0,31,983.0,145,373,59,170,124,167,24.0,84,113,44.0,17.0,79.0,56.0,473,0.389,0.347,0.743,31.7,15.3,2.7,3.6,10
21.0,29,940.0,148,246,0,0,99,146,100.0,269,16,22.0,107.0,59.0,92.0,395,0.602,0.36,0.678,32.4,13.6,9.3,0.6,12
19.0,26,732.0,142,338,40,90,60,79,55.0,70,37,20.0,1.0,31.0,50.0,384,0.42,0.444,0.759,28.2,14.8,2.7,1.4,13
22.0,27,974.0,252,564,58,175,107,137,29.0,128,94,37.0,4.0,67.0,61.0,669,0.447,0.331,0.781,36.1,24.8,4.7,3.5,13
22.0,26,820.0,109,259,32,85,65,86,5.0,46,179,36.0,4.0,95.0,57.0,315,0.421,0.376,0.756,31.5,12.1,1.8,6.9,14
20.0,9,226.0,36,64,0,0,24,36,55.0,47,9,6.0,9.0,19.0,18.0,96,0.563,0.36,0.667,25.1,10.7,5.2,1.0,15
22.0,30,975.0,178,376,31,84,122,166,81.0,276,49,23.0,33.0,96.0,80.0,509,0.473,0.369,0.735,32.5,17.0,9.2,1.6,15
22.0,34,1202.0,211,423,64,149,125,163,55.0,225,52,41.0,33.0,60.0,69.0,611,0.499,0.43,0.767,35.4,18.0,6.6,1.5,17
