"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Andrew Wiggins,,5.1,4.2,4.1,4.0,3.9,2.8,2.3,2.1,2.1,1.9,0.6,,,
Chris Gatling,91.7,4.6,4.5,4.0,3.9,3.9,3.1,2.4,2.4,2.0,1.4,-0.1,,,
Bingo Smith,90.3,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,2.1,1.6,1.1,,,
Tim Thomas,89.8,5.5,4.1,3.9,3.8,3.4,2.9,2.2,2.2,2.2,1.7,1.7,0.9,0.7,
John Johnson,87.8,6.2,4.9,4.6,4.3,4.0,2.7,2.5,2.3,2.1,2.1,1.2,0.2,,
Robert Covington,87.2,6.1,4.0,3.7,3.7,3.2,3.1,2.5,2.0,1.9,1.5,0.1,,,
Lorenzen Wright,87.0,5.2,3.7,3.2,3.2,3.2,3.1,2.5,2.2,2.2,1.4,0.7,0.0,-0.1,
Larry Nance Jr.,86.9,5.8,4.9,4.9,4.1,3.9,3.5,2.3,2.2,1.8,1.3,,,,
Patrick Patterson,86.9,6.1,4.1,3.8,3.6,3.3,2.6,2.4,1.9,1.6,1.2,1.1,,,
Kurt Rambis,86.8,4.8,4.3,4.3,4.1,4.1,3.9,2.6,2.3,2.2,1.7,1.7,1.5,0.6,0.3
Corliss Williamson,86.4,5.1,4.9,4.4,4.1,3.6,3.3,3.2,2.7,2.5,1.5,0.2,-0.8,,
