"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Jarrett Jack,,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,1.2,0.9,0.0,,,
Greg Anthony,93.6,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,,,,,
Patty Mills,92.0,5.6,5.1,4.8,4.1,3.5,2.8,2.8,2.2,1.5,1.4,0.9,0.7,0.4,0.1,0.1,0.0
Norman Powell,89.6,5.3,4.7,4.6,4.1,3.5,2.8,2.8,2.4,1.6,0.6,,,,,,
Sherman Douglas,88.8,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0,0.6,0.2,-0.1,,,,
Chris Ford,88.8,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1,,,,,,
Ricky Sobers,88.3,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1.0,0.1,,,,,
Marcus Smart,88.0,5.6,5.3,4.5,3.7,3.3,3.2,2.9,2.9,1.9,0.7,0.2,,,,,
Tyus Jones,87.8,5.7,5.1,4.5,4.4,3.6,3.0,3.0,2.8,1.5,0.3,,,,,,
Jason Williams,87.7,5.4,4.8,4.7,4.5,4.3,4.3,3.8,2.1,2.1,1.5,0.9,0.2,,,,
Johnny Davis,87.5,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3.0,2.5,1.7,,,,,,
