"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Joel Embiid,,12.3,12.0,8.8,8.7,7.5,6.2,6.0,1.9,1.4
Brad Daugherty,92.4,12.7,11.7,9.6,9.0,6.6,6.4,6.0,3.1,
Domantas Sabonis,88.8,12.6,12.6,10.1,7.6,7.5,7.1,6.9,4.7,0.8
Al Horford,88.5,10.9,10.1,9.4,8.8,8.7,6.8,5.5,2.8,1.3
Jarrett Allen,87.4,11.6,10.7,9.5,8.5,8.2,7.6,6.4,4.2,
DeAndre Jordan,86.7,12.8,11.8,11.5,11.1,6.2,5.6,5.2,1.5,1.3
Mel Daniels,86.6,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0.0
Clint Capela,85.6,10.8,10.2,8.3,8.2,7.2,5.9,4.9,4.4,0.0
Dave Robisch,85.1,10.1,9.1,8.6,8.5,7.8,5.2,5.0,2.3,2.3
Karl-Anthony Towns,85.1,14.0,12.7,10.4,10.3,8.3,6.3,5.4,5.1,2.7
Marc Gasol,84.7,11.5,10.2,8.4,8.2,7.9,7.7,6.4,5.6,3.7
