"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Joel Embiid,,12.3,12.0,8.8,8.7,7.5,6.2,6.0,1.9,1.4,,,,
Brad Daugherty,92.4,12.7,11.7,9.6,9.0,6.6,6.4,6.0,3.1,,,,,
Domantas Sabonis,88.8,12.6,12.6,10.1,7.6,7.5,7.1,6.9,4.7,0.8,,,,
Jarrett Allen,87.4,11.6,10.7,9.5,8.5,8.2,7.6,6.4,4.2,,,,,
Mel Daniels,86.6,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0.0,,,,
Yao Ming,83.7,11.4,10.7,10.6,8.7,8.6,8.3,7.4,0.3,,,,,
Willis Reed,83.3,14.7,14.6,10.6,10.0,7.9,5.8,5.5,3.6,1.5,0.6,,,
Clint Capela,82.4,10.8,10.2,8.3,8.2,7.2,6.3,5.9,4.9,4.4,3.2,0.0,,
Swen Nater,80.3,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,,
Dave Robisch,80.0,10.1,9.1,8.6,8.5,7.8,5.2,5.0,4.2,2.3,2.3,0.7,0.4,0.1
Hassan Whiteside,78.7,10.3,9.5,8.5,6.3,5.8,5.3,5.3,0.9,0.2,0.0,,,
