"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Casey Jacobsen,,2.7,2.6,1.2,-0.3,
Andrew Nembhard,85.4,2.8,2.0,1.2,,
Louie Nelson,85.2,2.9,2.3,1.1,0.0,0.0
Freddie Crawford,83.1,2.7,2.2,1.6,-0.2,-0.3
Tex Ritter,83.1,2.4,2.3,1.0,,
Terry Furlow,81.2,3.3,2.8,1.1,0.0,
Mike Butler,78.7,3.1,2.3,1.6,0.1,
Dick Garrett,77.3,2.4,2.3,1.6,0.1,-0.2
Kevin Porter Jr.,77.3,2.9,2.2,0.8,0.3,0.0
Ron Sobie,76.2,3.6,2.6,0.9,0.1,
Peyton Watson,76.1,2.5,2.5,0.3,,
