"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Kosta Koufos,,6.5,3.9,3.5,3.5,3.3,2.7,2.6,1.3,0.7,0.2,0.0,,
Richaun Holmes,85.2,6.1,4.9,4.3,3.8,3.2,2.8,2.0,1.5,1.3,0.8,,,
Marvin Webster,85.1,8.7,4.0,3.9,3.2,2.8,2.7,2.5,1.3,0.2,0.2,,,
Cody Zeller,83.1,6.3,5.6,3.9,3.8,3.6,3.3,2.6,1.9,1.1,0.8,0.7,,
Kent Benson,82.2,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0.0,,
Walter Dukes,82.1,4.2,3.9,3.7,3.3,3.2,2.8,2.4,0.5,,,,,
Matt Geiger,81.9,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,,,
Chris Kaman,81.8,6.1,3.6,3.3,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0.5,0.1,0.0
Daniel Theis,81.5,6.5,4.3,3.5,3.5,2.5,1.9,1.0,0.1,,,,,
Andrew Lang,81.0,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7,0.4,-0.1,
Dewayne Dedmon,80.3,5.2,4.0,3.7,3.5,2.4,1.7,1.1,1.0,0.6,0.1,,,
