Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2009-10,25,LAL,NBA,SF,2,0,6.5,2.0,4.5,0.444,0.0,1.0,0.0,2.0,3.5,0.571,0.444,0.0,0.0,1.0,1.5,2.5,0.5,0.0,0.0,0.0,1.0,4.0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,6.5,2.0,4.5,0.444,0.0,1.0,0.0,2.0,3.5,0.571,0.444,0.0,0.0,1.0,1.5,2.5,0.5,0.0,0.0,0.0,1.0,4.0,
