Season,Team,Lg,Salary
2021-22,Atlanta Hawks,NBA,< $Minimum
2022-23,Atlanta Hawks,NBA,(TW)
2023-24,Cleveland Cavaliers,NBA,"$103,550"
Career,(may be incomplete),,"$103,550"
