"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Jason Thompson,,4.0,3.9,3.6,2.9,2.7,2.7,2.4,1.6
Dwight Jones,94.0,3.9,3.8,3.1,2.9,2.9,2.7,2.6,1.3
Ollie Johnson,92.0,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2.0
Trevor Booker,90.8,4.3,4.3,3.6,3.1,3.0,2.9,2.6,2.3
John Tresvant,90.3,4.1,3.8,3.5,3.3,2.8,2.7,2.6,0.1
Maurice Harkless,89.5,4.2,3.4,3.2,2.9,2.8,2.7,2.4,0.3
Vladimir RadmanoviÄ,88.4,4.2,3.8,3.7,3.5,2.7,2.1,1.9,0.8
Tom McMillen,88.1,3.9,3.7,2.9,2.9,2.5,2.2,2.0,0.8
Jonas Jerebko,87.2,4.4,3.5,3.4,3.3,2.4,2.1,2.0,1.4
Nate Williams,87.1,4.5,4.3,4.0,2.9,2.8,2.5,1.9,0.4
Allan Bristow,86.8,4.4,4.3,3.5,2.8,2.7,1.9,1.9,0.5
