Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2009-10,20,SAS,NBA,PF,10.0,0.0,91.0,16.0,32.0,0.5,0.0,0.0,16.0,32.0,0.5,0.5,5.0,9.0,0.556,19.0,20.0,39.0,5.0,5.0,4.0,2.0,18.0,37.0,0.0,
2010-11,21,SAS,NBA,PF,4.0,0.0,50.0,7.0,21.0,0.333,0.0,0.0,7.0,21.0,0.333,0.333,3.0,5.0,0.6,9.0,4.0,13.0,2.0,0.0,1.0,2.0,6.0,17.0,0.0,
2011-12,22,SAS,NBA,PF,10.0,0.0,76.0,17.0,27.0,0.63,0.0,0.0,17.0,27.0,0.63,0.63,3.0,6.0,0.5,7.0,16.0,23.0,2.0,3.0,1.0,1.0,10.0,37.0,0.0,
2012-13,23,SAS,NBA,PF,12.0,0.0,76.0,21.0,34.0,0.618,0.0,0.0,21.0,34.0,0.618,0.618,5.0,9.0,0.556,6.0,18.0,24.0,7.0,5.0,1.0,1.0,14.0,47.0,0.0,
2013-14,24,DAL,NBA,PF,6.0,0.0,81.0,16.0,27.0,0.593,0.0,0.0,16.0,27.0,0.593,0.593,8.0,13.0,0.615,14.0,23.0,37.0,1.0,12.0,0.0,5.0,14.0,40.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,42.0,0.0,374.0,77.0,141.0,0.546,0.0,0.0,77.0,141.0,0.546,0.546,24.0,42.0,0.571,55.0,81.0,136.0,17.0,25.0,7.0,11.0,62.0,178.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,730.0,150.0,275.0,0.546,0.0,0.0,150.0,275.0,0.546,0.546,47.0,82.0,0.571,107.0,158.0,266.0,33.0,49.0,14.0,21.0,121.0,348.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAS (4 Yrs),SAS (4 Yrs),SAS (4 Yrs),SAS (4 Yrs),,36.0,0.0,293.0,61.0,114.0,0.535,0.0,0.0,61.0,114.0,0.535,0.535,16.0,29.0,0.552,41.0,58.0,99.0,16.0,13.0,7.0,6.0,48.0,138.0,0.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,6.0,0.0,81.0,16.0,27.0,0.593,0.0,0.0,16.0,27.0,0.593,0.593,8.0,13.0,0.615,14.0,23.0,37.0,1.0,12.0,0.0,5.0,14.0,40.0,0.0,
