"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Isaac Okoro,,4.2,4.2,4.2,2.5,0.9
T.J. Ford,91.9,4.3,4.3,3.3,2.5,0.7
Ernie Grunfeld,91.7,4.3,4.3,3.5,2.5,1.4
Dean Meminger,90.3,5.0,4.4,3.9,2.2,1.0
Jodie Meeks,90.2,5.1,4.5,4.1,3.0,0.9
Bruce Brown,89.4,4.8,4.4,4.3,2.1,1.5
Gerald Wilkins,88.6,4.4,4.3,3.4,3.3,0.7
Jarrett Jack,88.2,4.8,4.8,4.1,3.2,1.2
Don Ohl,87.7,4.5,4.1,3.9,1.2,0.8
Al Wood,86.7,4.4,4.2,2.5,2.3,0.9
Speedy Claxton,86.5,4.2,3.7,3.0,2.8,1.2
