Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2012-13,23,LAL,NBA,SG,4.0,0.0,6.0,0.0,33.9,0.0,0.0,8.5,0.0,0.0,25.4,0.0,0.0,0.0,0.0,,8.5,25.4,33.9,8.5,0.0,0.0,0.0,0.0,0.0,35.0,100.0,
2013-14,24,PHI,NBA,SG,3.0,0.0,15.0,0.0,22.6,0.0,0.0,9.7,0.0,0.0,12.9,0.0,0.0,0.0,6.5,0.0,0.0,6.5,6.5,3.2,3.2,0.0,6.5,9.7,0.0,6.0,107.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,7.0,0.0,21.0,0.0,25.7,0.0,0.0,9.3,0.0,0.0,16.4,0.0,0.0,0.0,4.7,0.0,2.3,11.7,14.0,4.7,2.3,0.0,4.7,7.0,0.0,14.0,105.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,4.0,0.0,6.0,0.0,33.9,0.0,0.0,8.5,0.0,0.0,25.4,0.0,0.0,0.0,0.0,,8.5,25.4,33.9,8.5,0.0,0.0,0.0,0.0,0.0,35.0,100.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,3.0,0.0,15.0,0.0,22.6,0.0,0.0,9.7,0.0,0.0,12.9,0.0,0.0,0.0,6.5,0.0,0.0,6.5,6.5,3.2,3.2,0.0,6.5,9.7,0.0,6.0,107.0,
