"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Dennis Smith Jr.,,1.8,1.1,0.6,0.4,0.0,-0.7,-0.9
Kevin Stacom,50.0,1.8,0.9,0.8,0.6,-0.1,-0.8,
Milt Palacio,49.5,1.8,1.7,0.8,0.2,0.2,-0.3,-0.5
Patrick McCaw,49.2,1.7,1.4,0.6,0.5,0.1,,
Chris Carr,48.8,1.7,1.1,0.9,0.3,0.2,-0.3,
Antoine Wright,48.1,1.4,1.2,0.8,0.3,-0.1,-0.5,
Mo Layton,45.7,1.9,1.1,1.0,0.3,0.1,,
Kevin McKenna,45.6,1.7,0.9,0.7,0.6,0.5,-0.3,
Sidney Lowe,44.8,1.7,1.5,0.5,0.3,,,
Slick Leonard,44.1,1.5,1.3,1.2,0.4,0.1,-0.1,-0.5
Lonnie Walker IV,43.9,1.8,1.2,0.8,0.4,0.3,0.3,0.0
