"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jamal Sampson,,0.5,0.4,0.2,0.2,0.0
JT Thor,81.3,0.6,0.3,0.2,0.2,
Rod McDonald,75.7,0.5,0.5,0.2,,
Troy Williams,74.6,0.5,0.4,0.4,,
Bill Curley,74.5,0.7,0.5,0.2,0.2,0.0
Jaylen Hoard,73.8,0.6,0.5,0.2,,
Obinna Ekezie,73.3,0.7,0.5,0.4,0.2,
Anthony Cook,70.8,0.5,0.4,0.1,0.1,
Hank McDowell,70.4,0.7,0.4,0.4,0.2,0.1
Adrian Caldwell,70.3,0.4,0.3,0.2,0.1,0.0
KZ Okpala,66.5,0.5,0.3,0.1,0.1,
