Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2011-12,24,DAL,NBA,C,4.0,0.0,27.0,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,1.0,2.0,0.5,2.0,3.0,5.0,0.0,1.0,1.0,3.0,4.0,5.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,26,DAL,NBA,C,6.0,0.0,90.0,15.0,18.0,0.833,0.0,0.0,15.0,18.0,0.833,0.833,3.0,6.0,0.5,5.0,7.0,12.0,8.0,2.0,6.0,2.0,8.0,33.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,29,MEM,NBA,PF,2.0,0.0,12.0,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,12.0,0.0,129.0,19.0,28.0,0.679,0.0,0.0,19.0,28.0,0.679,0.679,4.0,8.0,0.5,8.0,11.0,19.0,8.0,3.0,9.0,6.0,12.0,42.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,882.0,130.0,191.0,0.679,0.0,0.0,130.0,191.0,0.679,0.679,27.0,55.0,0.5,55.0,75.0,130.0,55.0,21.0,62.0,41.0,82.0,287.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,10.0,0.0,117.0,17.0,23.0,0.739,0.0,0.0,17.0,23.0,0.739,0.739,4.0,8.0,0.5,7.0,10.0,17.0,8.0,3.0,7.0,5.0,12.0,38.0,0.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,2.0,0.0,12.0,2.0,5.0,0.4,0.0,0.0,2.0,5.0,0.4,0.4,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,
