0
2016-17 Most Improved Player (George Mikan Trophy)
2018-19 Most Valuable Player (Michael Jordan Trophy)
2019-20 Defensive Player of the Year (Hakeem Olajuwon Trophy)
2019-20 Most Valuable Player (Michael Jordan Trophy)
2021 All-Star Game Most Valuable Player (Kobe Bryant Trophy)
2021 Finals Most Valuable Player (Bill Russell Trophy)
2021-22 NBA 75th Anniversary Team
2024-25 In-Season Tournament Most Valuable Player
