"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Xavier Henry,,0.3,0.2,0.2,0.0,-0.1
Jorge Guti̩rrez,86.2,0.3,0.3,0.2,,
Drew Barry,68.4,0.3,0.2,0.1,,
Rusty LaRue,67.9,0.3,0.3,0.1,-0.1,-0.1
Julyan Stone,65.8,0.4,0.3,0.2,0.1,
Milt Williams,62.6,0.4,0.2,0.1,0.1,
Lance Blanks,62.0,0.4,0.2,0.1,,
Corey Gaines,61.5,0.6,0.3,0.2,0.1,-0.1
Mason Jones,58.6,0.2,0.2,0.2,0.0,
Briante Weber,57.3,0.4,0.3,0.0,,
Kennard Winchester,57.3,0.5,0.4,0.3,,
