"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Ochai Agbaji,,3.1,1.3,0.1
Johnny Egan,97.2,3.2,1.3,0.0
Tyrone Corbin,92.4,3.0,1.2,0.1
Steve Kerr,91.6,3.2,1.3,0.4
Terry Furlow,91.1,3.3,1.1,0.0
Jeremy Lamb,89.5,3.3,1.6,0.2
Herm Gilliam,86.8,2.9,1.4,0.4
Anthony Goldwire,85.8,3.0,1.7,0.3
Shaedon Sharpe,85.8,3.0,1.2,0.5
Goran DragiÄ,85.6,2.8,1.0,0.1
Grayson Allen,84.8,2.7,1.2,0.0
