"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Darius Morris,,0.2,0.0,-0.2,-0.4
Dave Jamerson,40.2,0.2,0.1,-0.1,
A.J. Guyton,26.4,0.3,0.1,-0.1,
Gerald Madkins,9.6,0.3,0.1,0.0,
Dominique Jones,9.3,0.2,0.0,0.0,
Charles Bradley,6.9,0.2,0.2,-0.1,
Manny Harris,6.2,0.3,0.0,0.0,-0.2
Michael Phelps,4.1,0.3,0.1,-0.1,
Michael Hawkins,0.4,0.2,0.0,0.0,0.0
Brad Holland,-2.0,0.3,0.1,-0.1,
Billy Thomas,-12.4,0.4,0.2,-0.1,
