Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2024-25,22,MEM,NBA,C,4,4,108,10,15,0.667,0,0,10,15,0.667,0.667,5,7,0.714,11,20,31,7,0,10,6,12,25,0,
1 Yr,1 Yr,1 Yr,1 Yr,,4,4,108,10,15,0.667,0,0,10,15,0.667,0.667,5,7,0.714,11,20,31,7,0,10,6,12,25,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,82,2214,205,308,0.667,0,0,205,308,0.667,0.667,103,144,0.714,226,410,636,144,0,205,123,246,513,0,
