"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Aaron Brooks,,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,0.3,0.1,
Malik Sealy,90.0,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,,,
Johnny Dawkins,85.3,6.4,4.3,3.6,2.0,1.7,1.1,1.1,1.0,0.6,,
Scott Burrell,84.6,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,,,
Ron Brewer,83.5,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,,,
Darnell Valentine,82.5,5.0,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1.0,,
Jerry Sichting,82.4,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,
Chris Whitney,82.4,6.5,4.0,3.2,2.7,2.3,1.3,1.0,0.6,0.2,-0.2,-0.3
Chico Vaughn,82.1,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,,,
Jack George,81.8,4.6,3.8,3.4,1.8,1.5,1.5,1.2,-0.1,,,
Isaiah Rider,81.7,5.8,5.0,3.4,2.5,1.9,1.7,1.6,0.8,0.2,,
