"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Malachi Flynn,,1.0,0.8,0.5,0.5,0.0
JaKarr Sampson,86.6,1.2,0.8,0.6,0.5,0.1
Royal Ivey,83.1,0.9,0.7,0.5,0.3,0.2
Reggie Jordan,80.7,1.2,0.8,0.6,0.4,0.3
Dante Exum,79.3,1.2,1.0,0.7,0.4,-0.1
Jimmer Fredette,78.6,1.1,0.8,0.3,0.2,0.0
MarShon Brooks,77.8,1.3,0.8,0.7,0.4,0.1
Steve Alford,77.1,1.4,0.9,0.6,0.3,
Dalen Terry,76.6,1.1,0.8,0.5,,
Frank Jackson,76.2,1.2,0.7,0.4,0.2,0.0
Ronnie Price,74.0,1.1,0.9,0.4,0.1,0.1
