Season,Team,Lg,Salary
2019-20,Utah Jazz,NBA,< $Minimum
2020-21,Utah Jazz,NBA,< $Minimum
2021-22,Utah Jazz,NBA,"$84,414"
2022-23,Utah Jazz,NBA,"$105,522"
Career,(may be incomplete),,"$189,936"
