"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jarrell Brantley,,0.5,0.1,0.0,
Anthony Frederick,93.6,0.5,0.2,0.0,
Ken Durrett,92.7,0.5,0.1,0.0,0.0
Josh Huestis,89.5,0.5,0.2,0.0,
Jarnell Stokes,79.3,0.5,0.1,0.1,
Pape Sow,74.2,0.6,0.2,0.1,
Okaro White,71.2,0.6,0.2,0.0,
Kelan Martin,69.3,0.4,0.2,0.0,
Devontae Cacok,68.7,0.5,0.3,0.0,
Scooter McCray,65.4,0.3,0.1,0.0,
Gene James,64.9,0.5,0.3,0.1,
