"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Ryan Kelly,,2.2,0.7,0.1,0.1,
Kai Jones,92.9,2.1,0.7,0.0,,
Bill Bunting,88.1,2.0,0.7,0.0,,
Gerard King,86.2,2.3,0.5,0.2,,
Alfonzo McKinnie,85.7,2.1,0.8,0.2,0.1,-0.1
Bernard Thompson,85.1,2.1,0.9,0.2,0.1,0.0
Joey Dorsey,83.9,1.9,0.8,0.1,0.0,
Ron Bonham,78.3,1.8,0.7,0.2,,
J.J. Anderson,77.8,2.3,0.2,0.1,,
Jay Huff,77.0,2.5,0.5,0.2,0.0,
Chris Copeland,76.8,2.1,1.0,-0.1,-0.1,
