"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2002-03,22,HOU,NBA,C,82,72,2382,.498,6.8,.998,.334,.353,.257,.053,.002,.498,.703,.408,.372,.419,.500,.550,1.000,.111,87,.000,1,0,"ROY-2,AS"
2003-04,23,HOU,NBA,C,82,82,2692,.522,7.1,.998,.322,.367,.211,.099,.002,.523,.730,.415,.444,.416,.000,.613,,.101,94,.000,0,0,"MVP-14,AS,NBA3"
2004-05,24,HOU,NBA,C,80,80,2447,.552,6.2,1.000,.379,.341,.229,.051,.000,.552,.719,.467,.457,.300,,.716,,.148,126,,0,0,AS
2005-06,25,HOU,NBA,C,57,57,1949,.519,6.2,.999,.340,.392,.241,.026,.001,.519,.676,.479,.392,.261,.000,.621,,.078,63,.000,0,0,"AS,NBA3"
2006-07,26,HOU,NBA,C,48,48,1624,.516,6.8,.998,.310,.387,.269,.032,.002,.518,.650,.467,.445,.462,.000,.674,,.066,52,.000,0,0,"DPOY-24,AS,NBA2"
2007-08,27,HOU,NBA,C,55,55,2044,.507,7.4,.998,.344,.298,.248,.108,.002,.508,.659,.469,.431,.315,.000,.609,,.108,83,.000,0,0,"AS,NBA3"
2008-09,28,HOU,NBA,C,77,77,2589,.548,6.4,.999,.332,.400,.223,.044,.001,.548,.644,.530,.470,.378,1.000,.579,1.000,.084,76,.000,0,0,"MVP-12,AS,NBA2"
2009-10,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2010-11,30,HOU,NBA,C,5,5,91,.486,7.5,1.000,.162,.568,.270,.000,.000,.486,.667,.476,.400,,,.667,,.027,1,,0,0,AS
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,486,476,15818,.524,6.8,.998,.337,.365,.238,.059,.002,.525,.684,.465,.431,.366,.200,.625,1.000,.099,582,.000,1,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,80,2669,.524,6.8,.998,.337,.365,.238,.059,.002,.525,.684,.465,.431,.366,.200,.625,1.000,.099,98,.000,0,0,
