"('Thru 16 Years', 'Player')","('Thru 16 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Zaza Pachulia,,6.0,5.0,4.8,4.7,4.2,3.9,3.9,3.3,3.1,2.9,2.7,2.7,2.3,1.7,1.1,0.3
Kelly Olynyk,87.8,5.5,5.1,4.9,4.7,4.3,4.1,4.1,3.7,3.6,2.9,1.7,1.6,,,,
Leroy Ellis,86.2,6.4,5.8,4.7,4.3,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6,0.9,,
JaVale McGee,84.3,5.9,5.3,4.9,4.9,4.7,4.1,3.5,2.7,2.1,2.0,1.1,1.0,0.7,0.6,0.4,-0.1
Olden Polynice,84.3,6.7,5.3,5.2,5.1,4.5,3.3,3.2,2.6,2.5,2.0,2.0,1.6,1.5,1.5,-0.1,
James Edwards,82.2,7.1,7.0,6.7,5.6,4.5,4.4,4.3,3.7,3.5,3.0,2.8,2.8,1.5,1.4,1.0,0.4
Rick Mahorn,81.6,6.2,5.9,5.9,5.3,4.8,4.6,4.4,3.6,2.5,2.3,1.8,1.3,1.2,0.5,0.3,0.1
Theo Ratliff,80.9,6.8,5.6,5.4,5.2,5.2,4.0,3.9,3.8,2.3,2.0,1.4,1.4,0.8,0.1,0.0,0.0
Mark Eaton,79.9,6.6,5.5,5.4,5.3,4.1,4.0,3.8,3.7,3.6,1.9,0.8,,,,,
Brendan Haywood,77.4,6.8,6.7,5.2,5.0,3.9,3.8,3.4,3.1,2.9,2.7,0.2,0.1,0.0,,,
Channing Frye,77.2,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3.0,2.1,1.5,0.9,0.8,0.1,,,
