"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '16-3P')","('Unnamed: 20_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 25_level_0', 'Awards')"
2015-16,21,BOS,NBA,PF,2,0,10,0.5,4.8,1.0,0.75,0.0,0.0,0.25,0.0,0.5,0.667,,0.0,1.0,0.25,1,0,0,
2016-17,22,BOS,NBA,PF,2,0,18,0.4,5.9,1.0,0.6,0.2,0.0,0.2,0.0,0.4,0.667,0.0,0.0,0.0,0.2,0,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,4,0,28,0.444,5.4,1.0,0.667,0.111,0.0,0.222,0.0,0.444,0.667,0.0,0.0,0.5,0.222,1,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,574,0.444,5.4,1.0,0.667,0.111,0.0,0.222,0.0,0.444,0.667,0.0,0.0,0.5,0.222,21,0,0,
