"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2009-10,23,SAS,NBA,C,2.0,0.0,19.0,0.5,6.2,1.0,0.5,0.167,0.167,0.167,0.0,0.5,1.0,0.0,0.0,0.0,0.667,0.167,1.0,0.0,0.0,
2010-11,24,DAL,NBA,C,6.0,0.0,33.0,0.6,9.1,1.0,0.2,0.2,0.6,0.0,0.0,0.6,1.0,0.0,0.667,,0.667,0.0,0.0,0.0,0.0,
2011-12,25,DAL,NBA,C,4.0,0.0,70.0,0.643,3.1,1.0,0.714,0.214,0.0,0.071,0.0,0.643,0.6,0.667,,1.0,0.889,0.214,2.0,0.0,0.0,
2012-13,26,IND,NBA,C,18.0,0.0,150.0,0.448,5.9,1.0,0.621,0.138,0.0,0.241,0.0,0.448,0.5,0.75,,0.143,0.538,0.069,2.0,0.0,0.0,
2013-14,27,IND,NBA,C,19.0,0.0,241.0,0.481,3.0,1.0,0.815,0.111,0.0,0.074,0.0,0.481,0.5,0.667,,0.0,0.462,0.222,5.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,29,IND,NBA,C,7.0,7.0,172.0,0.5,2.8,1.0,0.667,0.286,0.048,0.0,0.0,0.5,0.643,0.25,0.0,,0.762,0.214,9.0,0.0,0.0,
2016-17,30,WAS,NBA,C,5.0,0.0,63.0,0.556,5.3,1.0,0.556,0.333,0.111,0.0,0.0,0.556,0.4,0.667,1.0,,0.8,0.0,0.0,0.0,0.0,
2017-18,31,WAS,NBA,C,6.0,0.0,52.0,0.714,2.4,1.0,0.714,0.286,0.0,0.0,0.0,0.714,0.8,0.5,,,0.7,0.214,3.0,0.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,67.0,7.0,800.0,0.527,4.7,1.0,0.664,0.212,0.048,0.075,0.0,0.527,0.598,0.452,0.429,0.182,0.675,0.164,22.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,9.0,979.0,0.527,4.7,1.0,0.664,0.212,0.048,0.075,0.0,0.527,0.598,0.452,0.429,0.182,0.675,0.164,27.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,44.0,7.0,563.0,0.48,3.9,1.0,0.694,0.194,0.02,0.092,0.0,0.48,0.559,0.421,0.0,0.111,0.617,0.173,16.0,0.0,0.0,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,11.0,0.0,115.0,0.652,3.8,1.0,0.652,0.304,0.043,0.0,0.0,0.652,0.667,0.571,1.0,,0.733,0.13,3.0,0.0,0.0,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,10.0,0.0,103.0,0.632,6.1,1.0,0.579,0.211,0.158,0.053,0.0,0.632,0.636,0.5,0.667,1.0,0.833,0.158,2.0,0.0,0.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,2.0,0.0,19.0,0.5,6.2,1.0,0.5,0.167,0.167,0.167,0.0,0.5,1.0,0.0,0.0,0.0,0.667,0.167,1.0,0.0,0.0,
