"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2009-10,23,SAS,NBA,C,2.0,0.0,19.0,0.5,0.5,0.5,0.75,0.58,0.667,0.0,108.0,102.0,100.0,99.0,107.0,222.0,0.0,
2010-11,24,DAL,NBA,C,6.0,0.0,33.0,0.6,0.6,0.6,0.556,0.614,1.8,0.0,131.0,123.0,120.0,73.0,113.0,600.0,0.0,
2011-12,25,DAL,NBA,C,4.0,0.0,70.0,0.643,0.643,0.643,0.846,0.735,0.929,0.0,144.0,135.0,132.0,112.0,139.0,337.0,0.0,
2012-13,26,IND,NBA,C,18.0,0.0,150.0,0.448,0.448,0.448,0.3,0.434,0.345,0.0,99.0,93.0,90.0,40.0,81.0,127.0,0.0,
2013-14,27,IND,NBA,C,19.0,0.0,241.0,0.481,0.481,0.481,0.611,0.53,0.667,0.0,106.0,99.0,96.0,81.0,98.0,235.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2015-16,29,IND,NBA,C,7.0,7.0,172.0,0.5,0.5,0.5,0.6,0.538,0.595,0.0,111.0,102.0,100.0,79.0,99.0,215.0,0.0,
2016-17,30,WAS,NBA,C,5.0,0.0,63.0,0.556,0.556,0.556,0.364,0.506,1.222,0.0,122.0,110.0,108.0,47.0,92.0,452.0,0.0,
2017-18,31,WAS,NBA,C,6.0,0.0,52.0,0.714,0.714,0.714,0.909,0.796,0.786,0.0,155.0,140.0,137.0,119.0,143.0,312.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,67.0,7.0,800.0,0.527,0.527,0.527,0.614,0.567,0.692,0.0,116.0,108.0,105.0,81.0,105.0,250.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,44.0,7.0,563.0,0.48,0.48,0.48,0.547,0.507,0.541,0.0,106.0,98.0,96.0,72.0,94.0,195.0,0.0,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,11.0,0.0,115.0,0.652,0.652,0.652,0.636,0.673,0.957,0.0,142.0,128.0,126.0,83.0,121.0,367.0,0.0,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,10.0,0.0,103.0,0.632,0.632,0.632,0.727,0.697,1.158,0.0,139.0,132.0,129.0,96.0,131.0,406.0,0.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,2.0,0.0,19.0,0.5,0.5,0.5,0.75,0.58,0.667,0.0,108.0,102.0,100.0,99.0,107.0,222.0,0.0,
