"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Ian Mahinmi,,6.2,3.4,3.3,2.3,2.2,2.1,1.8,1.4,1.4,1.0,0.7,0.2,,,,
Chris Kaman,89.2,6.1,3.6,3.3,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0.5,0.1,0.0,,,
Chris Dudley,82.0,4.7,4.1,3.5,3.4,2.2,2.2,1.5,1.5,1.0,1.0,0.5,0.3,0.2,0.1,0.0,0.0
Mel Counts,81.5,5.0,4.3,4.2,2.9,2.7,2.0,1.9,1.5,1.5,1.0,0.4,0.3,,,,
Andrew Lang,81.4,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7,0.4,-0.1,,,,
Alex Len,80.1,4.5,3.4,3.2,3.0,2.7,2.5,1.3,1.3,0.9,0.7,0.3,0.2,,,,
Bismack Biyombo,79.1,5.9,4.0,3.2,2.9,2.9,2.4,2.3,2.0,1.9,1.8,1.4,1.1,0.8,0.6,,
Otto Moore,78.0,5.0,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,,,,,,,
Kosta Koufos,77.9,6.5,3.9,3.5,3.5,3.3,2.7,2.6,1.3,0.7,0.2,0.0,,,,,
Spencer Hawes,77.7,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6,,,,,,
Joe Meriweather,77.7,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8,,,,,,
