"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Terence Morris,,0.9,0.2,-0.1
Bob Arnzen,84.8,1.0,0.3,-0.1
Haywood Highsmith,83.2,0.9,0.1,0.0
Randolph Keys,82.9,1.0,0.3,-0.2
Eddie Lee Wilkins,82.4,0.8,0.3,-0.1
Ivano Newbill,80.5,1.1,0.1,-0.1
Alize Johnson,79.3,0.9,0.3,0.0
Jim Tucker,77.6,1.0,0.3,0.0
Jeff Adrien,75.7,1.0,0.2,0.1
Corey Brewer,74.7,1.0,0.3,-0.2
Brian Skinner,74.4,0.9,0.3,0.1
