Season,Team,Lg,Salary
2009-10,Portland Trail Blazers,NBA,"$457,588"
2010-11,Charlotte Bobcats,NBA,"$762,195"
2011-12,Memphis Grizzlies,NBA,"$2,000,000"
2012-13,Minnesota Timberwolves,NBA,"$2,090,000"
2013-14,Minnesota Timberwolves,NBA,"$2,180,000"
2014-15,New Orleans Pelicans,NBA,"$831,942"
2015-16,New Orleans Pelicans,NBA,"$3,000,000"
2016-17,New Orleans Pelicans,NBA,"$2,978,250"
2017-18,Brooklyn Nets,NBA,"$2,300,000"
2018-19,San Antonio Spurs,NBA,"$2,487,000"
Career,(may be incomplete),,"$19,086,975"
