"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2023-24,25,MIN,NBA,C,7,0,26,0.833,8.7,0.75,0.583,0.083,0.083,0.0,0.25,0.889,0.857,1.0,1.0,0.667,0.75,1.0,0.083,1,0.0,0,0,
2024-25,26,MIN,NBA,C,5,0,19,1.0,6.7,0.833,0.667,0.0,0.167,0.0,0.167,1.0,1.0,,1.0,1.0,0.2,1.0,0.167,1,0.0,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,12,0,45,0.889,7.7,0.778,0.611,0.056,0.111,0.0,0.222,0.929,0.909,1.0,1.0,0.75,0.538,1.0,0.111,2,0.0,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,308,0.889,7.7,0.778,0.611,0.056,0.111,0.0,0.222,0.929,0.909,1.0,1.0,0.75,0.538,1.0,0.111,14,0.0,0,0,
