"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Luka Garza,,1.1,0.8,0.7,0.4,,,
Ray Tolbert,90.6,1.1,0.8,0.7,0.3,0.0,,
Yi Jianlian,88.3,1.3,0.7,0.7,0.4,0.0,,
Bill Hosket,87.3,1.0,1.0,0.6,0.5,,,
Jarell Martin,87.1,1.3,0.8,0.6,0.5,,,
Josh Powell,85.8,1.1,0.7,0.6,0.3,0.0,0.0,-0.2
Steve Green,84.7,1.2,1.1,0.7,0.4,,,
Kessler Edwards,82.5,1.2,0.6,0.5,0.4,,,
Loren Woods,81.3,1.1,0.7,0.5,0.4,0.4,0.1,
Tom Kozelko,78.4,1.0,0.7,0.7,,,,
Maceo Baston,78.2,1.1,0.5,0.4,0.3,,,
