Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2016-17,23,UTA,NBA,PF,2,0,9,2,3,0.667,0,0,2,3,0.667,0.667,0,0,0,2,2,0,0,1,0,0,4,0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,9,2,3,0.667,0,0,2,3,0.667,0.667,0,0,0,2,2,0,0,1,0,0,4,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,369,82,123,0.667,0,0,82,123,0.667,0.667,0,0,0,82,82,0,0,41,0,0,164,0,
