Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,21,MEM,NBA,PF,19.0,2.0,126.0,6.0,10.6,0.568,0.0,0.0,6.0,10.6,0.568,0.568,4.3,8.0,0.536,4.6,5.1,9.7,1.1,1.4,1.4,2.0,7.1,16.3,
2015-16,22,2TM,NBA,C,7.0,0.0,18.0,6.0,10.0,0.6,0.0,0.0,6.0,10.0,0.6,0.6,2.0,4.0,0.5,2.0,6.0,8.0,2.0,2.0,0.0,0.0,2.0,14.0,
2015-16,22,MEM,NBA,C,2.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,9.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,
2015-16,22,MIA,NBA,C,5.0,0.0,14.0,7.7,12.9,0.6,0.0,0.0,7.7,12.9,0.6,0.6,2.6,5.1,0.5,0.0,5.1,5.1,2.6,2.6,0.0,0.0,2.6,18.0,
2016-17,23,DEN,NBA,C,2.0,0.0,7.0,5.1,5.1,1.0,0.0,0.0,5.1,5.1,1.0,1.0,5.1,10.3,0.5,5.1,5.1,10.3,10.3,5.1,0.0,0.0,15.4,15.4,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,28.0,2.0,151.0,6.0,10.3,0.581,0.0,0.0,6.0,10.3,0.581,0.581,4.1,7.6,0.531,4.3,5.2,9.5,1.7,1.7,1.2,1.7,6.9,16.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,21.0,2.0,130.0,5.8,10.2,0.568,0.0,0.0,5.8,10.2,0.568,0.568,4.2,7.8,0.536,4.7,5.3,10.0,1.1,1.4,1.4,1.9,6.9,15.8,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,5.0,0.0,14.0,7.7,12.9,0.6,0.0,0.0,7.7,12.9,0.6,0.6,2.6,5.1,0.5,0.0,5.1,5.1,2.6,2.6,0.0,0.0,2.6,18.0,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,2.0,0.0,7.0,5.1,5.1,1.0,0.0,0.0,5.1,5.1,1.0,1.0,5.1,10.3,0.5,5.1,5.1,10.3,10.3,5.1,0.0,0.0,15.4,15.4,
