"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jarnell Stokes,,0.5,0.1,0.1,
Ken Durrett,82.1,0.5,0.1,0.0,0.0
Jarrell Brantley,79.3,0.5,0.1,0.0,
Josh Huestis,77.8,0.5,0.2,0.0,
Pape Sow,77.2,0.6,0.2,0.1,
Anthony Frederick,74.2,0.5,0.2,0.0,
Bob Bigelow,68.1,0.4,0.0,0.0,0.0
Gene James,68.1,0.5,0.3,0.1,
Kelan Martin,68.0,0.4,0.2,0.0,
Devontae Cacok,64.7,0.5,0.3,0.0,
Jordan Mickey,63.2,0.3,0.1,0.1,
