"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
T.J. Leaf,,1.6,0.8,0.3,0.0
Chris McNealy,94.8,1.6,0.8,0.2,
Ron Riley,92.1,1.6,0.7,0.2,0.0
Ron Bonham,87.2,1.8,0.7,0.2,
Reggie Slater,86.6,1.5,0.8,0.4,-0.1
Rodions Kurucs,84.4,1.6,0.8,-0.1,
Harry Giles,84.2,1.6,1.0,0.5,0.1
Billy Schaeffer,83.8,1.9,0.8,0.5,
BoÅ¡tjan Nachbar,83.5,1.7,0.8,0.1,-0.1
Joey Dorsey,83.4,1.9,0.8,0.1,0.0
Chris Singleton,83.2,1.5,0.5,0.2,
